,last_scraped,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
37,2024-09-28,Rune,2013-06-05,"Oslo, Norway",within a few hours,100%,69%,t,t,t,Entire loft,Entire home/apt,1 bath,"$2,200.00",t,2024-09-28,2018-08-20,2024-08-19,no reviews,f,1239077,6751091,2.0,2.0,3.0,1.0,2.0,2.0,3.0,185.9,2.0,3.0,187.4,188.8,2.4,189.2,28,88,28.0,5.0,0.0,4.96,4.96,4.93,4.96,5.0,1.0,0.0,0.0,0.38
38,2024-09-28,Anita,2012-01-17,"Oslo, Norway",within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$783.00,t,2024-09-28,2013-06-23,2024-09-01,no reviews,f,1250723,1616331,1.0,3.0,1.0,1.0,1.0,1.0,1.0,185.9,1.0,1.0,187.4,188.8,1.0,189.2,7,47,7.2,3.3,1.0,4.73,4.89,4.87,4.89,4.85,1.0,0.0,0.0,1.0
39,2024-09-28,Rein,2012-07-01,"Oslo, Norway",within a few hours,100%,77%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,100.00",t,2024-09-28,2020-03-11,2024-08-31,no reviews,f,1281274,2793327,3.0,1.4,4.0,1.0,2.0,2.0,2.1,21.0,6.0,2.7,21.0,21.0,2.4,21.0,18,26,6.0,5.0,1.0,4.67,4.83,4.33,4.83,4.83,1.0,0.0,0.0,0.11
40,2024-09-28,Gry,2013-05-20,"Oslo, Norway",within a day,100%,73%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,200.00",t,2024-09-28,2013-09-09,2024-09-07,no reviews,f,1283780,6480437,1.0,1.4,3.0,1.0,2.0,2.0,2.0,10.0,2.0,2.0,10.0,10.0,2.0,10.0,0,0,7.2,5.0,1.0,4.88,4.94,4.84,4.97,4.97,1.0,0.0,0.0,0.51
41,2024-09-28,Anja,2013-06-23,"Oslo, Norway",within a day,100%,0%,f,t,t,Entire condo,Entire home/apt,1 bath,"$1,200.00",t,2024-09-28,2013-07-17,2023-08-13,no reviews,f,1307404,7063146,1.0,1.0,3.0,1.0,2.0,2.0,3.0,185.9,3.0,3.0,187.4,188.8,3.0,189.2,29,86,19.0,0.0,0.0,4.79,4.95,4.79,4.95,4.79,1.0,0.0,0.0,0.14
42,2024-09-28,Line K.,2013-06-26,"Oslo, Norway",within an hour,100%,100%,t,t,t,Private room in condo,Private room,1 private bath,$900.00,t,2024-09-28,2013-08-15,2024-09-22,no reviews,t,1310319,7121844,2.0,2.0,2.0,1.0,1.0,1.0,1.0,60.0,1.0,1.0,187.4,188.8,1.0,189.2,24,77,7.2,3.3,0.3,4.9,4.94,4.82,4.97,4.92,1.0,0.0,0.0,1.0
43,2024-09-28,Orjan,2013-07-03,"Oslo, Norway",within a day,67%,33%,f,t,t,Entire rental unit,Entire home/apt,1 bath,$833.00,t,2024-09-28,2013-08-11,2024-08-30,no reviews,f,1340004,7267318,1.0,1.0,2.0,1.0,1.0,1.0,2.1,30.0,2.3,2.7,30.0,30.0,2.4,30.0,28,88,11.0,1.0,1.0,4.45,4.27,4.55,4.64,4.91,1.0,0.0,0.0,0.08
44,2024-09-28,Nina,2013-07-04,"Oslo, Norway",within a few hours,100%,80%,t,t,t,Private room in condo,Private room,1 private bath,$518.00,t,2024-09-28,2013-08-27,2024-09-23,no reviews,f,1342358,7280460,1.0,2.0,2.0,1.0,1.0,1.0,2.0,15.0,2.0,2.0,15.0,15.0,2.0,15.0,4,8,7.2,12.0,0.3,4.77,4.85,4.76,4.89,4.86,1.0,0.0,0.0,1.73
45,2024-09-28,Anne Guro,2009-10-03,"Oslo, Norway",within a day,70%,50%,f,t,t,Entire condo,Entire home/apt,1 bath,"$1,043.00",t,2024-09-28,2016-03-30,2024-09-20,no reviews,f,1372955,43067,1.0,2.0,2.0,1.0,1.0,2.0,2.1,120.0,5.0,5.0,120.0,120.0,5.0,120.0,9,47,15.0,6.0,1.0,5.0,4.87,4.8,4.87,4.93,1.0,0.0,0.0,0.14
46,2024-09-28,Stein,2013-07-15,"Oslo, Norway",within a day,100%,50%,f,t,f,Entire rental unit,Entire home/apt,1 bath,"$2,241.00",t,2024-09-28,never,no reviews,no reviews,f,1393357,7490536,1.0,1.0,2.0,1.0,1.0,1.0,2.0,30.0,2.0,2.0,187.4,188.8,2.0,189.2,29,89,0.0,0.0,0.0,4.9,4.9,4.8,4.9,4.9,1.0,0.0,0.0,0.14
